,Lemma,TF-IDF
0,又,6.905369567123651e-06
1,あの,0.0
2,夢,1.3112815526632967e-05
3,だ,0.0
4,誰,0.0
5,の,0.0
6,人,0.0
7,は,0.0
8,どう,0.0
9,為る,0.0
10,た,0.0
11,否,0.0
12,俺,5.837934116219543e-05
13,に,0.0
14,も,0.0
15,言う,0.0
16,ない,0.0
17,事,0.0
18,か,0.0
19,良く,1.0358054350685476e-05
20,分かる,0.0
21,自分,0.0
22,で,0.0
23,うー,1.4690025220340038e-05
24,ああ,0.0
25,おい,0.0
26,はい,2.2787719571508048e-05
27,皆,9.667517393973113e-06
28,起きる,6.556407763316484e-06
29,て,0.0
30,鐘,0
31,が,0.0
32,終わる,0.0
33,まで,0.0
34,集合,0
35,ね,0.0
36,遅れる,0
37,留年,0
38,から,0.0
39,退学,0
40,成る,0.0
41,居る,0.0
42,競争,0
43,行く,0.0
44,御,0.0
45,影,0
46,栄誉,0
47,有る,0.0
48,帝国,0
49,陸軍,0
50,士官,0
51,学校,0
52,第,2.43831549150447e-05
53,期,0
54,生徒,0
55,と,0.0
56,要塞,0.00039411389365975305
57,一員,0
58,為,0.0
59,選抜,0
60,れる,0.0
61,卒業,0
62,後,0.0
63,名,1.4672739361422603e-05
64,恥じる,9.379827205397673e-05
65,ず,0.0
66,立派,1.7692789713382015e-05
67,軍人,0.00029344619931789107
68,弛む,0
69,努力,0
70,を,0.0
71,惜しむ,0
72,所存,0
73,です,0.0
74,生,2.2009109042133906e-05
75,代表,5.4323071470107727e-05
76,シュリ,0
77,弥勒,0
78,理事,0
79,長,0
80,今年,7.077115885352806e-05
81,高い,1.250985882047045e-05
82,伺う,0
83,ます,0.0
84,ぞ,0.0
85,な,0.0
86,五百,0
87,内,1.3120202177534937e-05
88,試験,0
89,合格,0
90,唯,8.731309122138117e-05
91,二十,0
92,彼,2.0849764700784086e-05
93,等,0.0
94,取る,7.595906523836017e-06
95,此処,0.0
96,難関,0
97,よ,0.0
98,明日,3.853510959820437e-05
99,軍,0
100,最高,8.458828385576075e-05
101,幹部,0
102,方々,0
103,いらっしゃる,4.2294141927880376e-05
104,今,0.0
105,成果,0
106,遺憾,0
107,無い,0.0
108,発揮,0
109,出来る,0.0
110,様,0.0
111,心掛ける,0
112,下さる,0.0
113,シュ,0
114,そんな,0.0
115,さ,0.0
116,流石,3.1897486630836155e-05
117,名門,0
118,一族,0
119,違う,6.905369567123651e-06
120,所,0.0
121,遂に,2.2669348107415116e-05
122,実技,0
123,授業,0
124,出る,0.0
125,呉れる,0.0
126,先生,5.7069809493535786e-05
127,寂しい,2.1636813687928208e-05
128,一般,0
129,全て,4.5264288869183455e-05
130,免除,0
131,筈,3.0982064626941706e-05
132,気,0.0
133,入る,1.1739128264110208e-05
134,扱い,5.401635316122403e-05
135,顔,6.295725094431444e-06
136,傷,0
137,なんか,8.976980437260746e-06
138,付く,1.5289827447241664e-05
139,大変,8.56335768848986e-06
140,もの,2.5690073065469578e-05
141,君,8.394300125908592e-06
142,エロ本,0
143,持つ,0.0
144,来る,0.0
145,てる,0.0
146,其の,0.0
147,朝,0
148,不,1.4082756648609865e-05
149,機嫌,3.0506578637071864e-05
150,出す,6.905369567123651e-06
151,捲る,0
152,別,5.559937253542422e-06
153,びびる,0
154,まさか,2.5690073065469578e-05
155,上,0.0
156,脚気,0
157,ぇ,0
158,達,1.6572886961096762e-05
159,受かる,0
160,ば,0.0
161,入れる,6.949921566928028e-06
162,ぜ,2.7281475409202922e-05
163,戦う,2.626989022353967e-05
164,家族,1.865222038876151e-05
165,守る,1.4672739361422603e-05
166,見せる,2.1408394221224647e-05
167,絶対,4.1432217402741906e-06
168,未だ,0.0
169,何,0.0
170,思い出す,0
171,あー,0.0
172,偶に,9.814469515246924e-05
173,変,0
174,見る,0.0
175,其れ,0.0
176,って,0.0
177,過去,8.444821944226414e-05
178,記憶,0
179,知れる,1.6899307978331838e-05
180,さえ,1.966922328994945e-05
181,仮令,0
182,昔,3.0176192579455638e-05
183,死人,0
184,噂,9.49405058200245e-05
185,くらい,4.1432217402741906e-06
186,兎も角,3.9671600864084765e-05
187,御前,0.0
188,調整,0
189,とく,8.976980437260746e-06
190,もっと,1.1739128264110208e-05
191,本気,5.8475643031416734e-05
192,こそ,2.0849764700784086e-05
193,ぼっ,0
194,情け,0
195,掛ける,0.0
196,此れ,0.0
197,即ち,0
198,己,0.0011653820365799625
199,弱い,0
200,まい,1.4912363955167e-05
201,参る,2.2669348107415116e-05
202,強い,5.633102659443946e-06
203,過ぎる,0.0
204,たって,1.7720825906020084e-05
205,相当,0.00011726072332565623
206,物,0.0
207,凄い,0.0
208,使い手,0
209,急度,8.449653989165919e-06
210,特別,3.16468352733415e-05
211,寝る,3.6681848403556504e-05
212,別々,0.0001068708033211541
213,配属,0
214,連絡,4.9070495679854465e-05
215,一応,0
216,親友,0
217,聞く,0.0
218,前,0.0
219,話す,4.8337586969865565e-06
220,死ぬ,1.1739128264110208e-05
221,だけ,3.245523696548116e-05
222,戦闘,0
223,用,2.5690073065469578e-05
224,物心,0
225,頃,4.197150062954296e-06
226,飼う,0
227,愛情,0
228,知る,0.0
229,思う,0.0
230,そう,0.0
231,似る,6.567472555884918e-05
232,っ,0.0
233,泣く,0
234,馬鹿,9.72989019369924e-06
235,野郎,0.00017174673487949064
236,急,1.3112815526632967e-05
237,困る,2.9345478722845207e-05
238,初めて,5.559937253542422e-06
239,すっ,3.538557942676403e-05
240,げえ,0
241,嬉しい,2.3150038036796647e-05
242,要する,0
243,誓い,0
244,立てる,4.9070495679854465e-05
245,若し,3.4526847835618255e-06
246,戦場,5.8196605944421744e-05
247,見捨てる,0.00016867573866410739
248,たり,2.816551329721973e-05
249,神,6.491044106378463e-05
250,誓う,0
251,時,0.0
252,一緒,0.0
253,貴方,2.9002552181919334e-05
254,今日,0.0
255,愈,0
256,決める,2.835332144963214e-05
257,られる,0.0
258,其々,0
259,会場,4.4129433595924096e-05
260,以上,2.5348961967497757e-05
261,頑張る,4.197150062954296e-06
262,此方,0.0
263,急ぐ,0
264,付き合う,4.204910911107605e-05
265,不足,0
266,喋る,6.556407763316484e-06
267,続ける,3.472505705519497e-05
268,所為,2.816551329721973e-05
269,癖,7.336369680711302e-06
270,同じ,1.1119874507084845e-05
271,なんて,2.554986739835751e-05
272,簡単,6.556407763316483e-05
273,親,1.6750045637500114e-05
274,七光り,0
275,優しい,9.745940505236122e-06
276,方,0.0
277,良い,0.0
278,わ,0.0
279,始まる,5.787509509199162e-06
280,さん,0.0
281,諸君,0
282,囚人,0
283,倒す,2.9315180831414058e-05
284,詰まり,6.50217464401192e-05
285,殺す,7.796752404188898e-05
286,や,0.0
287,遣る,0.0
288,ちゃう,0.0
289,此の,0.0
290,男,7.707021919640874e-05
291,仲間,8.458828385576075e-05
292,失格,0
293,力,4.197150062954296e-06
294,合わせる,0
295,本当,0.0
296,仕舞う,2.0716108701370953e-06
297,まじ,1.966922328994945e-05
298,余裕,5.6298812961509426e-05
299,ほ,5.070797094437745e-05
300,餓鬼,5.888681709148155e-05
301,威勢,0
302,楽しむ,2.9824727910334e-05
303,せる,0.0
304,開始,2.9315180831414058e-05
305,何時,0.0
306,通り,0.0
307,つう,0.0
308,後ろ下,0
309,煩い,1.5088096289727819e-05
310,沈滞,0
311,懲役,0.0001496102526036926
312,期間,0
313,短い,0
314,此奴,6.214832610411286e-06
315,早い,0.0
316,敬礼,0
317,越す,0
318,アヤナミ,0
319,参謀,0
320,長官,0
321,助ける,1.0632495543612052e-05
322,見苦しい,0
323,ＡＷＫ,0
324,子息,0
325,実戦,9.781539977263035e-05
326,家柄,0
327,関係,5.029365429909273e-06
328,大抵,6.688820666402167e-05
329,脱落,0
330,どんな,5.559937253542422e-06
331,訓練,5.8196605944421744e-05
332,成績,0
333,使う,0.0
334,極く,6.024237394002273e-05
335,僅か,0
336,退ける,0
337,降参,0
338,動く,2.0117461719637093e-05
339,止める,0.0
340,為さる,5.524295653698921e-06
341,敵,1.4016369703692015e-05
342,必要,1.4082756648609865e-05
343,手緩い,0
344,彼奴,2.50197176409409e-05
345,含める,0
346,彼の,1.7263423917809127e-05
347,材,0
348,糞,0.00013768456302964613
349,放つ,0
350,一体,2.5146827149546362e-05
351,伯父,0
352,何千,0
353,手,0.0
354,震える,0
355,感謝,4.3273627375856416e-05
356,命,3.940483533530951e-05
357,救う,0
358,止め,0
359,さす,0.00029344619931789107
360,誇り,6.688820666402167e-05
361,大,2.480915626842812e-05
362,漸と,3.5723164153524605e-05
363,一人前,9.005841562038222e-05
364,休む,2.2827923797414315e-05
365,最後,1.0632495543612052e-05
366,ふざける,3.172060644591028e-05
367,御免,0.0
